centro_titular|municipio_codigo|distrito_nombre|direccion_via_nombre|centro_tipo_descripcion|dat_codigo|direccion_codigo_postal|centro_titularidad|contacto_telefono2|contacto_telefono3|centro_tipo_desc_abreviada|direccion_numero|contacto_telefono1|centro_codigo|contacto_web|dat_nombre|centro_tipo_codigo|municipio_nombre|distrito_codigo|contacto_fax|direccion_coor_y|direccion_coor_x|direccion_via_tipo|centro_nombre|contacto_telefono4|contacto_email1|promedio_x|promedio_y|distancia|row_num
ADELA MARIA BALLESTER DE GREGORIO|079|Latina|del Concejal Francisco José Jiménez Martín|ESCUELA INFANTIL PRIVADA|5|28047|PRIVADO|685179914||EIPR|142|914637975|28059486||Madrid-Capital|008|Madrid|10|914637975|4472449.0|436410.0|CALLE|BAMBINOS||info@eibambinos.com|436410.0|4472449.0|0.0|1
ADELLIS, S.A.(3-9-90 BOE 20-9-90)|006||del Camino Ancho|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|1|28109|PRIVADO|916501614||CPR INF-PRI-SEC|83|916501790|28039268|http://www.educa.madrid.org/cpr.lossauces-lamoraleja.alcobendas|Madrid-Norte|072|Alcobendas||916505719|4486604.0|446779.0|CALLE|LOS SAUCES||secretaria@colegiolossauces.com|446779.0|4486604.0|0.0|1
AFANIAS|079|Tetuán|Muller|CENTRO PRIVADO DE EDUCACIÓN ESPECIAL|5|28039|PRIVADO CONCERTADO|||CPR EE|25|915709172|28013449|http://www.educa.madrid.org/cc.nsdelasvictorias.madrid|Madrid-Capital|021|Madrid|06|915722758|4479482.0|440644.0|CALLE|NUESTRA SEÑORA DE LAS VICTORIAS||cc.nsdelasvictorias.madrid@educa.madrid.org|440047.5|4479926.0|743.604901812784|1
AFUERA2, S.L. UNIPERSONAL|079|Centro|de San Francisco|CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA|5|28005|PRIVADO CONCERTADO|||CPR FPE|11|913653863|28018514|http://www.afuera2.com|Madrid-Capital|058|Madrid|01||4473596.0|439515.0|CRA|AFUERA II||cc.afuera2.madrid@educa.madrid.org|439515.0|4473596.0|0.0|1
AGRONOMÍA Y EDUCACIÓN, S.L.|058||Santander|ESCUELA INFANTIL PRIVADA|2|28941|PRIVADO|640582258||EIPR|14|911623163|28063349|http://www.lacastitadecaramelo.es|Madrid-Sur|008|Fuenlabrada|||4461093.0|431722.0|PLAZA|LA CASITA DE CARAMELO||eilacasitadecaramelo@gmail.com|431722.0|4461093.0|0.0|1
ALAMOS DEL ARDAL, S.L.|134||del Ardal|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|1|28708|PRIVADO|669591012|659203340|CPR INF-PRI|4|916236380|28008880|www.elardal.com|Madrid-Norte|015|San Sebastián de los Reyes|||4493419.0|450247.0|AVDA|EL ARDAL||elardal@gmail.com|450247.0|4493419.0|0.0|1
ALEGRE KOALA 3, S.L.|079|Arganzuela|de Arganda|ESCUELA INFANTIL PRIVADA|5|28005|PRIVADO|||EIPR|32|660939708|28061602||Madrid-Capital|008|Madrid|02||4472351.0|440009.0|CALLE|ALEGRE KOALA||ceialegrekoala@gmail.com|440009.0|4472351.0|0.0|1
ALFONSO XIII 30, S.L.|079|Chamartín|de Alfonso XIII|ESCUELA INFANTIL PRIVADA|5|28002|PRIVADO|637855184||EIPR|30|914139286|28057921|WWW.OSOBUCO.NET |Madrid-Capital|008|Madrid|05||4478001.0|443426.0|AVDA|OSOBUCO II||osobuco@osobuco.net|443426.0|4478001.0|0.0|1
ALFREDO GONZALEZ PONT|079|Moncloa-Aravaca|de Tutor|CENTRO AUTORIZADO PROFESIONAL DE MÚSICA|5|28008|PRIVADO|659836742||CAU PROF MUS|52|915495036|28038987||Madrid-Capital|138|Madrid|09||4475848.0|439113.0|CALLE|PROGRESO MUSICAL||progresomusical@telefonica.net|439113.0|4475848.0|0.0|1
ALHUCEMA SDAD. COOP. MADRILEÑA DE ENSEÑANZA|058||de las Provincias|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28941|PRIVADO CONCERTADO|615598548||CPR INF-PRI-SEC|51|916098087|28042139|http://www.colegioalhucema.es|Madrid-Sur|072|Fuenlabrada|||4460994.0|432153.0|AVDA|ALHUCEMA||cc.alhucema.fuenlabrada@educa.madrid.org|432153.0|4460994.0|0.0|1
ALJAPALE, S.L.|079|Hortaleza|de Torregrosa|ESCUELA INFANTIL PRIVADA|5|28043|PRIVADO|660492189||EIPR|16|911383601|28061912|www.domoescuelainfantil.es|Madrid-Capital|008|Madrid|16||4480331.0|445070.0|CALLE|DOMO||info@domoescuelainfantil.es|445070.0|4480331.0|0.0|1
ALMUDENA OLIVER PINACHO|080||LAS HUERTAS|ESCUELA INFANTIL PRIVADA|4|28220|PRIVADO|637439511||EIPR|3|916341120|28058494|http://www.eilashuertas.es|Madrid-Oeste|008|Majadahonda||916341120|4481160.0|425994.0|URB|LAS HUERTAS||direccion@eilashuertas.es|425994.0|4481160.0|0.0|1
ALTAMIRA DE FUENLABRADA SDAD.COOP. MADRILEÑA|058||Gerona|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28945|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|4|916155866|28038598|http://www.educa.madrid.org/cc.altamira.fuenlabrada|Madrid-Sur|072|Fuenlabrada|||4460814.0|432760.0|CALLE|ALTAMIRA||cc.altamira.fuenlabrada@educa.madrid.org|432760.0|4460814.0|0.0|1
AMAYA VERGARA ECHEVERRIA|022||de Isabel II|ESCUELA INFANTIL PRIVADA|4|28660|PRIVADO|639965930||EIPR|23|916327975|28061894|littlelions.es|Madrid-Oeste|008|Boadilla del Monte|||4473676.0|425226.0|CALLE|LITTLE LIONS||info@littlelions.es|425226.0|4473676.0|0.0|1
ANA MARIA ARANDA DONOSO|092||Camino de Leganés|ESCUELA INFANTIL PRIVADA|2|28936|PRIVADO|625563092||EIPR|50|916460128|28036528|www.dalmatas.eu|Madrid-Sur|008|Móstoles|||4463999.0|427687.0|CALLE|DALMATAS||dalmatas@dalmatas.eu|427687.0|4463999.0|0.0|1
ANA MARTINEZ-FRESNEDA GOMENDIO|176||Sierra de Gredos|ESCUELA INFANTIL PRIVADA|4|28691|PRIVADO|||EIPR|14|639701643|28063337|www.pambola.es|Madrid-Oeste|008|Villanueva de la Cañada|||4476969.0|414499.0|AVDA|PAMBOLA||info@pambola.es|414499.0|4476969.0|0.0|1
ANASEDUCACION, S.L.|079|Chamartín|de Buganvilla|ESCUELA INFANTIL PRIVADA|5|28036|PRIVADO|657511576||EIPR|2|911305715|28063121|http://www.escuelalittlewitch.es|Madrid-Capital|008|Madrid|05||4480309.0|442672.0|CALLE|LITTLE WITCH||info@escuelalittlewitch.es|442672.0|4480309.0|0.0|1
ANDARINES ESCUELA INFANTIL, S.L.|014||los Cascabeles|ESCUELA INFANTIL PRIVADA|3|28500|PRIVADO|649919909||EIPR|13|918705202|28059814|http://www.andarines-ei.com|Madrid-Este|008|Arganda del Rey|||4462298.0|462030.0|URB|ANDARINES II||marcordero@andarines-ei.com|462030.0|4462298.0|0.0|1
ANDEL PROMOCIONES EDUCATIVAS, S.A. UNIPERSONAL|007||Fuentecisneros|CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA|2|28922|PRIVADO CONCERTADO|||CPR PRI-SEC|39|916655239|28064214|http://www.andel.es|Madrid-Sur|073|Alcorcón||916655240|4465634.0|427264.0|CMNO|ANDEL||cc.andel.alcorcon@educa.madrid.org|427264.0|4465634.0|0.0|1
ANGEL GARCIA DE LA SERNA HERNANDEZ|040||de la Venerable Madre María Antonia de la Mis|CENTRO AUTORIZADO ELEMENTAL DE MÚSICA|2|28350|PRIVADO|918934721|660220888|CAU EL MUS|5|918931629|28062618|http://www.blancasynegras.com|Madrid-Sur|137|Ciempozuelos|||4445710.0|447167.0|AVDA|BLANCAS Y NEGRAS|660220888|informacion@blancasynegras.com|447167.0|4445710.0|0.0|1
ANGEL LLORENTE GUTIERREZ|115||Bularas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|4|28224|PRIVADO|917150499||CPR INF-PRI-SEC|4|913512345|28023996|http://colegioliceosorolla.es|Madrid-Oeste|072|Pozuelo de Alarcón||917152662|4477703.0|431100.0|AVDA|LICEO SOROLLA C||jmbrusint@liceosorolla.es|431100.0|4477703.0|0.0|1
ANGELES SANTIAGO OROZCO|082||del Marqués de Santillana|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|1|28410|PRIVADO CONCERTADO|+34918539|+34918539|CPR INF-PRI-SEC|29|918539660|28047368|http://www.educa.madrid.org/cc.losabetos.manzanares|Madrid-Norte|072|Manzanares el Real|||4508640.0|425998.0|CALLE|LOS ABETOS|+34918539|cc.losabetos.manzanares@educa.madrid.org|425998.0|4508640.0|0.0|1
ANTONIO AYALA GARCIA|134||de los Barrilleros|ESCUELA INFANTIL PRIVADA|1|28701|PRIVADO|695130763||EIPR|29|916238199|28059164|http://www casamenuda.com|Madrid-Norte|008|San Sebastián de los Reyes|||4488520.0|446742.0|CALLE|CASA MENUDA||info@casamenuda.com|446742.0|4488520.0|0.0|1
ANTONIO GILABERT GARCIA Y MARIA JESUS PLAZA SACHEZ|079|Ciudad Lineal|de Ricardo Ortiz|ESCUELA INFANTIL PRIVADA|5|28017|PRIVADO|650842784||EIPR|114|913551119|28019661||Madrid-Capital|008|Madrid|15||4474923.0|444258.0|CALLE|SAGRADA FAMILIA|||444258.0|4474923.0|0.0|1
ANTONIO GILABERT GCIA. Y DOS MAS|079|Ciudad Lineal|de José Arcones Gil|CENTRO PRIVADO DE EDUCACIÓN DE PERSONAS ADULTAS|5|28017|PRIVADO|650842784||CPRIEPA|13|913675461|28043089||Madrid-Capital|037|Madrid|15||4476367.0|445818.0|CALLE|ACADEMIA TOAN|||445818.0|4476367.0|0.0|1
ANTONIO MACHADO DE PARLA, SDAD. COOP. MADRILEÑA DE ENSEÑANZA|149||Iglesia|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28991|PRIVADO CONCERTADO|918160852||CPR INF-PRI-SEC|1|918160318|28034994|http://www.educa.madrid.org/cc.castilla.torrejondelacalzada|Madrid-Sur|072|Torrejón de la Calzada||918160287|4450216.0|432360.0|CALLE|CASTILLA||cc.castilla.torrejondelacalzada@educa.madrid.org|432360.0|4450216.0|0.0|1
ANTONIO NAVAS SANZ|007||de los Pinos|ESCUELA INFANTIL PRIVADA|2|28922|PRIVADO|601062381||EIPR|16|916416473|28049501|www.ayeleminfantil.com|Madrid-Sur|008|Alcorcón||91641647|4465756.0|429086.0|CALLE|LOS PINOS AYELEM||ayeleminfantil@yahoo.es|429086.0|4465756.0|0.0|1
AQUINAS INTERNATIONAL SCHOOL, S.L.|115||Transversal 4|CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA|4|28223|PRIVADO|913523889||CPR ES|    4|913523120|28040507||Madrid-Oeste|045|Pozuelo de Alarcón||913523889|4475929.0|428048.0|CALLE|AQUINAS INTERNATIONAL SCHOOL||secretaria@aquinasmadrid.es|428048.0|4475929.0|0.0|1
ARANZAZU ESTEVEZ RODRIGUEZ Y ASUNCION DIAZ CAÑAMARES|079|Arganzuela|de las Naves|ESCUELA INFANTIL PRIVADA|5|28005|PRIVADO|609528232|609528607|EIPR|21|914743389|28061535|www.escuelainfantilchuly .com|Madrid-Capital|008|Madrid|02||4472335.0|440083.0|CALLE|CHULY||escuelachuly@gmail.com|440083.0|4472335.0|0.0|1
ARBOS S.L. UNIPERSONAL|079|Fuencarral-El Pardo|de Finisterre|ESCUELA INFANTIL PRIVADA|5|28029|PRIVADO|||EIPR|9|913141675|28063453||Madrid-Capital|008|Madrid|08||4480821.0|440536.0|CALLE|HAPPY SCHOOL||escuelatrebol@hotmail.com|440536.0|4480821.0|0.0|1
ARCADIA, SDAD. COOP. MADRILEÑA|176||Cetrería|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|4|28690|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|2|918162322|28044331|http://www.colegioarcadia.net|Madrid-Oeste|072|Villanueva de la Cañada||918162376|4475091.0|417675.0|CALLE|ARCADIA||cc.arcadia.villanuevadelacanada@educa.madrid.org|417675.0|4475091.0|0.0|1
ARCOS JIO,  S.A.|006||Camino del Cura|CENTRO PRIVADO DE EDUCACIÓN INFANTIL|1|28050|PRIVADO|||CPR INF|8|916252401|28058408||Madrid-Norte|004|Alcobendas|||4484550.0|445160.0|CALLE|LA ESCUELITA DEL ENCINAR||coordinacion@laescuelitadelencinar.es|445160.0|4484550.0|0.0|1
ARETEIA, S.A.|006||de la Salvia|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|1|28109|PRIVADO|916507408||CPR INF-PRI-SEC|24|916509102|28042346|www.areteia.edu.es|Madrid-Norte|072|Alcobendas||916508809|4486537.0|446504.0|CALLE|ARETEIA||secretaria@areteia.edu.es|446504.0|4486537.0|0.0|1
ARGENTINA MARTINEZ RODRIGUEZ, MANUEL RODRIGUEZ CARNERO|079|Salamanca|de José Celestino Mutis|ESCUELA INFANTIL PRIVADA|5|28028|PRIVADO|||EIPR|38|917250761|28017145|info@escuelainfantillospinos.com|Madrid-Capital|008|Madrid|04|0|4474936.0|443740.0|CALLE|LOS PINOS||nuria@escuelainfantillospinos.com|443740.0|4474936.0|0.0|1
ARGOLIDA,S.A.|079|Chamartín|de Joaquín Bau|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28036|PRIVADO|913451168||CPR INF-PRI-SEC|4|913596368|28019737|http://www.colegioaltair.com|Madrid-Capital|072|Madrid|05||4479454.0|441835.0|CALLE|ALTAIR, COLEGIO INTERNACIONAL||secretaria@colegioaltair.com|441835.0|4479454.0|0.0|1
ARMONIA ESCUELA INFANTIL, S.L.|079|Hortaleza|de la Isla de Cuba|ESCUELA INFANTIL PRIVADA|5|28042|PRIVADO|609037569||EIPR|12|913931328|28057611|http://www.armoniaescuelainfantil.es|Madrid-Capital|008|Madrid|16||4478001.0|448174.0|CALLE|ARMONIA||armonia_ei@yahoo.es|448174.0|4478001.0|0.0|1
ARTURO SORIA SDAD.COOP.DE ENSEÑANZA|079|Ciudad Lineal|del Duque de Tamámes|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28043|PRIVADO|||CPR INF-PRI-SEC|9|914157295|28009069|http://www.colegioarturosoria.org|Madrid-Capital|072|Madrid|15|915192532|4477974.0|444607.0|CALLE|ARTURO SORIA||direccion@colegioarturosoria.org|444607.0|4477974.0|0.0|1
ARZOBISPADO DE MADRID|079|Retiro|de Valderribas|CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|5|28007|PRIVADO CONCERTADO|||CPR INF-PRI|37|915528595|28008430|http://www.educa.madrid.org/cc.nsdelapaz.madrid|Madrid-Capital|015|Madrid|03|915529032|4472913.0|442627.0|CALLE|NUESTRA SEÑORA DE LA PAZ||cc.nsdelapaz.madrid@educa.madrid.org|442902.625|4473012.25|292.95000106673496|1
ASENSIO & BUSTAMANTE, S.L.|080||Blas de Otero|ESCUELA INFANTIL PRIVADA|4|28220|PRIVADO|916383524||EIPR|s/n|606213594|28049742||Madrid-Oeste|008|Majadahonda|||4480345.0|425321.0|CALLE|NEMOMARLIN MAJADAHONDA DELTA||delta@escuelanemomarlin.com|425321.0|4480345.0|0.0|1
ASESORIA DIDACTICA S.A.|092||de Carlos V|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|2|28936|PRIVADO|||CPR INF-PRI-SEC|27|916459211|28023030|http://www.liceovf.eu|Madrid-Sur|072|Móstoles|||4463450.0|427706.0|AVDA|LICEO VILLA FONTANA||director@liceovf.eu|427706.0|4463450.0|0.0|1
ASOC. NUESTRA SEÑORA SALUS INFIRMORUM, DIOCESIS DE MADRID|079|Chamartín|de Mateo Inurria|ESCUELA INFANTIL PRIVADA|5|28036|PRIVADO|648206764||EIPR|20|913591786|28061043|www.saluscasadelnino.es|Madrid-Capital|008|Madrid|05||4479825.0|442035.0|CALLE|CASA DEL NIÑO||casadelnino@salusinfirmorum.es|442035.0|4479825.0|0.0|1
ASOC.PADRES Y AMIGOS NIÑOS DIFERENTES-APANID|065||de Toledo|CENTRO PRIVADO DE EDUCACIÓN ESPECIAL|2|28905|PRIVADO CONCERTADO|657182413||CPR EE|k16,4|916815511|28028593|http://www.apanid.es|Madrid-Sur|021|Getafe||916815561|4462822.0|437151.0|CTRA|NUESTRA SEÑORA DE LA ESPERANZA||cc.nsdelaesperanza.getafe@educa.madrid.org|437151.0|4462822.0|0.0|1
ASOCIAC.PADRES Y FAMILIARES DE MINUS.PSIQUICOS Y SENSORIALES|079|Fuencarral-El Pardo|Colmenar Viejo|CENTRO PRIVADO DE EDUCACIÓN ESPECIAL|5|28049|PRIVADO CONCERTADO|||CPR EE|k13,6|917345138|28012299|http://www.alenta.org|Madrid-Capital|021|Madrid|08|917351572|4486034.0|441607.0|CTRA|ALENTA||cc.ipdoctorquinterolumbreras.madrid@educa.madrid.org|441607.0|4486034.0|0.0|1
ASOCIACION ALDEAS INFANTILES S.O.S. DE ESPAÑA|131||Residencia|ESCUELA INFANTIL PRIVADA|4|28200|PRIVADO|699991816||EIPR|70|918906653|28061754|www.aldeasinfantiles.es|Madrid-Oeste|008|San Lorenzo de El Escorial|||4495015.0|403448.0|CALLE|ALDEAS INFANTILES S.O.S. DE ESPAÑA||escuelainfantil@aldeasinfantiles.es|403448.0|4495015.0|0.0|1
ASOCIACION ARAYA (AUTISMO Y TRASTORNOS PROFUNDOS)|079|Hortaleza|de Ramón Power|CENTRO PRIVADO DE EDUCACIÓN ESPECIAL|5|28043|PRIVADO CONCERTADO|651686608||CPR EE|9|913883722|28048269|www.colegioaraya.org|Madrid-Capital|021|Madrid|16|913883722|4479420.0|446428.0|CALLE|ARAYA||cc.araya.madrid@educa.madrid.org|446428.0|4479420.0|0.0|1
ASOCIACION AYUDA ATENCION AL PARALITICO CEREBRAL (ATENPACE)|079|Fuencarral-El Pardo|de las Islas Marquesas|CENTRO PRIVADO DE EDUCACIÓN ESPECIAL|5|28035|PRIVADO CONCERTADO|||CPR EE|27|913167446|28060464|http://www.atenpace.org|Madrid-Capital|021|Madrid|08|913163215|4480887.0|438427.0|CALLE|ATENPACE||cc.atenpace.madrid@educa.madrid.org|438427.0|4480887.0|0.0|1
ASOCIACION CIVIL INSTITUCION TERESIANA|115||Radio y Televisión|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|4|28223|PRIVADO CONCERTADO|913520548|913520549|CPR INF-PRI-SEC|2|913520547|28023935|http://www.educa.madrid.org/cc.veritas.pozuelodealarcon|Madrid-Oeste|072|Pozuelo de Alarcón|||4474131.0|432935.0|AVDA|INSTITUTO VERITAS|620591172|cc.veritas.pozuelodealarcon@educa.madrid.org|432935.0|4474131.0|0.0|1
ASOCIACION COLEGIO ALEMAN DE MADRID|079|Fuencarral-El Pardo|de Monasterio de Guadalupe|CENTRO DOCENTE EXTRANJERO EN ESPAÑA|5|28049|PRIVADO|609205105||CEXTRAN ESP|7|915580200|28014181||Madrid-Capital|094|Madrid|08||4484254.0|440279.0|CALLE|COLEGIO ALEMAN DE MADRID (ALEMAN)||sekretariat@dsmadrid.org|440279.0|4484254.0|0.0|1
ASOCIACION COLEGIO HOF DER LAGE LANDEN|079|Hortaleza|de Alonso Saavedra|CENTRO DOCENTE EXTRANJERO EN ESPAÑA|5|28033|PRIVADO|||CEXTRAN ESP|20-22|917661045|28029858|www.nlschool.es|Madrid-Capital|094|Madrid|16|917661045|4480164.0|443732.0|CALLE|HOF DER LAGE LANDEN (PAISES BAJOS)||info@nlschool.es|443732.0|4480164.0|0.0|1
ASOCIACION CULTURAL ESCUELA POPULAR DE PROSPERIDAD|079|Chamartín|de Luis Cabrera|CENTRO PRIVADO DE EDUCACIÓN DE PERSONAS ADULTAS|5|28002|PRIVADO|||CPRIEPA|19|915627019|28061092||Madrid-Capital|037|Madrid|05||4477045.0|442675.0|CALLE|ESCUELA POPULAR DE PROSPERIDAD|||442675.0|4477045.0|0.0|1
ASOCIACION CULTURAL NORTE JOVEN|079|Villa de Vallecas|de Peña Veiga|CENTRO PRIVADO DE EDUCACIÓN DE PERSONAS ADULTAS|5|28031|PRIVADO|||CPRIEPA|s/n|917787095|28059425||Madrid-Capital|037|Madrid|18|917785046|4469823.0|447121.0|CALLE|CEN-TALLER NORTE JOVEN,VILLA DE VALLECAS||vallecas@nortejoven.org|447121.0|4469823.0|0.0|1
ASOCIACION CULTURAL SAINT EXUPERY|006||del Camino Ancho|CENTRO DOCENTE EXTRANJERO EN ESPAÑA|1|28109|PRIVADO|917489496||CEXTRAN ESP|85|916507019|28029883||Madrid-Norte|094|Alcobendas||91 6507019|4486658.0|446762.0|CALLE|ECOLE SAINT-EXUPERY (FRANCES)||secretariat.saint-exupery@laposte.net|446762.0|4486658.0|0.0|1
ASOCIACION CULTURAL SURCO|079|Usera|de Trévelez|CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|5|28041|PRIVADO CONCERTADO|||CPR INF-PRI-SEC|3|913175643|28008387|http://www.colegiomontserrat.eu|Madrid-Capital|072|Madrid|12|913172496|4468528.0|440318.0|CALLE|OBRA SO.N.S.MONTSERRAT-S.SIMON Y S.JUDAS||cc.obrasonsmontserrat.madrid@educa.madrid.org|440318.0|4468528.0|0.0|1
ASOCIACION DE GESTION DOCENTE Y CULTURAL|079|Usera|de Eduardo Barreiros|CENTRO PRIVADO DE EDUCACIÓN ESPECIAL|5|28041|PRIVADO CONCERTADO|||CPR EE|6|913178441|28032134|http://www.educa.madrid.org/cc.poncedeleon.madrid|Madrid-Capital|021|Madrid|12|913177715|4469272.0|440882.0|CALLE|CENTRO EDUCATIVO PONCE DE LEON||cc.poncedeleon.madrid@educa.madrid.org|440882.0|4469272.0|0.0|1
ASOCIACION DE LA ESC.AMERICANA DE MADRID|115||de los Estados Unidos de América|CENTRO DOCENTE EXTRANJERO EN ESPAÑA|4||PRIVADO|917400512||CEXTRAN ESP|1|917401900|28029950|www.asmadrid.org|Madrid-Oeste|094|Pozuelo de Alarcón|||4477224.0|433835.0|CALLE|AMERICAN SCHOOL OF MADRID (EE.UU.)||info@asmadrid.org|433835.0|4477224.0|0.0|1
ASOCIACION DE PADRES DE ALUMNOS DEL INTA (A.P.A.I.)|148||Ajalvir|ESCUELA INFANTIL PRIVADA|3|28850|PRIVADO|915201661||EIPR|k4,5|665608282|28057933||Madrid-Este|008|Torrejón de Ardoz|||4480934.0|459545.0|CTRA|LA CASITA||pbarriosmartin@gmail.com|459545.0|4480934.0|0.0|1
ASOCIACION DEL COLEGIO ESCANDINAVO|006||del Camino Ancho|CENTRO DOCENTE EXTRANJERO EN ESPAÑA|1|28109|PRIVADO|||CEXTRAN ESP|14|916500127|28029810|http://www.escandinavo.com|Madrid-Norte|094|Alcobendas|||4484602.0|448029.0|CALLE|COLEGIO ESCANDINAVO (SUECO)||colegio@escandinavo.com|448029.0|4484602.0|0.0|1
